UID,SFDC Account ID,Portal,Name,EmailDomain,In Deals,Allocated,Declined/Pass,Other
1757403075,,Santander,"Rackemann, Sawyer & Brewster",rackemann.com,3,0,0,3
4952664754,,Santander,Rausch Law,rauschlaw.com,2,1,0,1
2219234567,,Santander,Raymond James Bank,raymondjames.com,43,1,32,10
1076308015,,Santander,RB International,usafinance.rbinternational.com,1,0,1,0
3022196415,,Santander,RBC Capital Markets,rbccm.com,1,0,0,1
7368804242,,Santander,RBS Business Capital,rbsbusinesscapital.com,2,1,0,1
3432994041,,Santander,Red Apple 86 Fleet Place Development,ragny.com,1,0,0,1
1489495744,,Santander,Red Capital Group,redcapitalgroup.com,3,0,2,1
5404044635,,Santander,Redwood Capital,redwoodcap.com,0,0,0,0
588209921,,Santander,Regiment Capital,regimentcapital.com,0,0,0,0
9706790896,,Santander,Regions Bank,regions.com,19,2,9,8
2084327644,,Santander,Regions Capital Markets,regions.com,3,0,2,1
3126703515,,Santander,Regions Financial Corp.,regions.com,2,0,1,1
5626025779,,Santander,Related Fund Management,related.com,1,0,1,0
662475206,,Santander,Renasant Bank,renasant.com,16,0,5,11
1946141368,,Santander,Reva Capital Markets,revacap.com,1,0,0,1
5672534824,,Santander,RFCommercial,rfc.com,0,0,0,0
9659845859,,Santander,Riemer & Braunstein,riemerlaw.com,13,3,0,10
2357308924,,Santander,Riemer & Braunstein,riemerlaw.com,1,0,0,1
3750317631,,Santander,Riyad Bank,riyadbank.us.com,4,2,0,2
1835390145,,Santander,Robinson & Cole,rc.com,11,1,1,9
3493881613,,Santander,Rockland Trust,rocklandtrust.com,21,1,10,10
6732886679,,Santander,Royal Bank of Canada,rbccm.com,2,0,1,1
5916106391,,Santander,Royal Bank of Scotland,rbos.com,0,0,0,0
7662958159,,Santander,RREI,rrei-llc.com,1,0,0,1
6209684661,,Santander,RZB Finance LLC,rzbfinance.com,0,0,0,0
8993780311,,Santander,Sabadell Bank,sabadellbank.com,17,3,4,10
8173831104,,Santander,Sachsen LB,sachsenlb.de,0,0,0,0
3347709049,,Santander,Safra National Bank,safra.com,3,0,3,0
3496454751,,Santander,Salem Five Cent Savings,salemfive.com,106,40,29,37
3006857169,,Santander,"Sankaty Advisors, Inc.",sankatyadvisors.com,2,0,0,2
4213075634,,Santander,Savings Institute Bank & Trust,banksi.com,0,0,0,0
3841552973,,Santander,Saybrook Advisors,saybrook.net,1,0,0,1
8442630201,,Santander,Schff Hardin LLP,schiffhardin.com,1,0,0,1
1838338963,,Santander,Schiff Hardin,schiffhardin.com,1,0,0,1
1070329904,,Santander,Scotia Bank,scotiabank.com,2,0,1,1
8211035665,,Santander,Seacoast Bank,SeacoastBank.com,2,0,1,1
5016616149,,Santander,Seaside Bank,seasidebank.com,1,1,0,0
3791437738,,Santander,Sector Financial,sectorfinancial.com,1,0,1,0
2810782522,,Santander,Senior Care Development LLC,seniorcaredevelopment.com,1,0,0,1
